YEAR,XX, STATE,DISTRICT,UNCONTESTED
1984,FL,Florida,1,Democrat
1984,FL,Florida,2,Democrat
1984,FL,Florida,3,Democrat
1984,FL,Florida,5,Republican
1984,FL,Florida,12,Republican
1984,FL,Florida,13,Republican
1984,FL,Florida,17,Democrat
1984,GA,Georgia,2,Democrat
1984,GA,Georgia,5,Democrat
1984,GA,Georgia,8,Democrat
1984,GA,Georgia,10,Democrat
1984,IL,Illinois,1,Democrat
1984,KY,Kentucky,1,Democrat
1984,LA,Louisiana,2,Democrat
1984,LA,Louisiana,3,Democrat
1984,LA,Louisiana,4,Democrat
1984,LA,Louisiana,5,Democrat
1984,LA,Louisiana,7,Democrat
1984,MA,Massachusetts,8,Democrat
1984,MA,Massachusetts,9,Democrat
1984,MA,Massachusetts,11,Democrat
1984,MD,Maryland,7,Democrat
1984,MI,Michigan,7,Democrat
1984,MI,Michigan,17,Democrat
1984,MO,Missouri,3,Democrat
1984,MS,Mississippi,1,Democrat
1984,MS,Mississippi,3,Democrat
1984,NY,New York,16,Democrat
1984,NY,New York,19,Democrat
1984,OH,Ohio,3,Democrat
1984,OH,Ohio,20,Democrat
1984,PA,Pennsylvania,6,Democrat
1984,SC,South Carolina,5,Democrat
1984,TN,Tennessee,1,Republican
1984,TN,Tennessee,5,Democrat
1984,TN,Tennessee,7,Republican
1984,TN,Tennessee,8,Democrat
1984,TX,Texas,1,Democrat
1984,TX,Texas,5,Democrat
1984,TX,Texas,10,Democrat
1984,TX,Texas,11,Democrat
1984,TX,Texas,12,Democrat
1984,TX,Texas,15,Democrat
1984,TX,Texas,17,Democrat
1984,TX,Texas,20,Democrat
1984,TX,Texas,23,Democrat
1984,VA,Virginia,2,Republican
1984,VA,Virginia,3,Republican
1984,VA,Virginia,4,Democrat
1984,VA,Virginia,5,Democrat
1984,WI,Wisconsin,5,Democrat
1986,AL,Alabama,1,Republican
1986,AZ,Arizona,3,Republican
1986,CA,California,24,Democrat
1986,FL,Florida,2,Democrat
1986,FL,Florida,3,Democrat
1986,FL,Florida,4,Democrat
1986,FL,Florida,5,Republican
1986,FL,Florida,7,Democrat
1986,FL,Florida,8,Republican
1986,FL,Florida,12,Republican
